Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Afghanistan,AFG,..,7548.716782,12858.09105,12864.5667,13031.19582,13572.91114,13526.93964,10677.64542,10863.25179,10810.38195,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Albania,ALB,..,18881.59858,37112.30834,37478.07641,37926.89546,38164.77312,38038.30765,41715.46557,42236.10851,43262.92727,45524.54547,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Algeria,DZA,..,56070.78611,57878.29477,59126.90921,59274.74436,59207.3848,62792.57148,63250.67481,58367.79064,59596.42611,61189.05736,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Angola,AGO,..,19381.00034,31187.47187,30171.6575,29053.3349,28059.95339,26682.7934,25015.85589,25072.6,24631.96462,24845.81377,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Argentina,ARG,..,58560.15295,68105.40264,69702.68519,66888.04929,64545.66909,63088.84226,62199.20993,62861.78464,59860.60868,59453.73823,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Armenia,ARM,..,11266.13569,32604.82148,35409.42918,38036.52199,42384.99272,37618.04979,38030.47894,43845.17275,45895.73801,47368.55145,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Australia,AUS,..,95965.53268,113799.9614,113779.722,113928.5263,113842.0223,115508.0417,113808.5318,114008.8608,114664.9018,114528.0433,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Austria,AUT,..,115875.0895,126111.1481,127537.9615,128696.2123,129898.6454,123044.0801,129644.8172,132596.3772,130630.577,129651.4032,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Azerbaijan,AZE,..,11984.94903,42334.66435,41818.21182,41719.53057,42430.58141,40037.08531,43720.54133,44616.14195,45198.37403,46821.22463,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Bahamas, The",BHS,..,69393.82599,62953.56401,62204.98063,63072.19312,61411.89427,54848.90635,62022.17955,62815.13864,63680.11427,65603.59915,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bahrain,BHR,..,127347.6743,95203.29356,93856.93301,96163.9932,100682.7496,98787.31183,100319.7378,102524.9529,102026.1952,103794.3236,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bangladesh,BGD,..,7693.457191,15254.59078,15398.44543,16161.75765,17073.96359,17564.35476,18166.59059,18760.024,19552.11686,20762.81566,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Barbados,BRB,..,44357.18579,42581.62691,42771.85367,42182.90949,42654.69428,38345.19136,38796.92705,41549.42517,42518.0746,43410.04232,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Belarus,BLR,..,26390.27703,49068.38855,50333.79484,51697.34272,52419.66001,52451.76259,54118.39006,51749.59672,54328.31656,56813.35644,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Belgium,BEL,..,125481.2201,142336.272,142256.6917,141579.4846,142675.5333,136668.1841,143705.6949,145434.1173,146671.434,146630.3938,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Belize,BLZ,..,35619.0781,29301.98286,27807.11081,26775.9768,26287.27296,28952.11045,30188.10808,32593.0001,32062.15923,33118.80888,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Benin,BEN,..,6527.360632,7202.37123,7331.162601,7525.92043,7742.917188,7856.069889,8053.282605,8266.76711,8527.814916,8897.286858,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bhutan,BTN,..,12530.15452,29571.65152,29852.9189,30532.04604,29729.11798,26297.01955,26460.17639,30393.89342,29545.92633,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bolivia,BOL,..,17666.70584,26005.32072,26123.04177,25166.01671,24312.53733,22404.88686,21923.16358,21896.13469,21876.51246,21296.23523,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bosnia and Herzegovina,BIH,..,24818.36058,46787.13674,46042.39871,47321.1338,47957.21821,48515.11494,52049.67363,52227.70621,51686.2428,53676.47583,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Botswana,BWA,..,43412.2092,50976.76236,52098.77152,52975.44883,53491.73757,50122.86969,54141.69069,55903.10103,53442.77159,50958.19576,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Brazil,BRA,..,34062.02588,39749.32151,40207.02538,40287.82074,39945.50864,41893.32373,41904.83152,40322.92125,41147.69338,41441.0406,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Brunei Darussalam,BRN,..,222779.9108,171508.7753,172851.5247,165771.5898,169846.4479,172926.2611,163716.8188,159454.947,158246.4775,163274.3609,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bulgaria,BGR,..,35600.73386,60519.0099,59817.2104,61624.09988,62694.24536,62815.2683,68917.57183,69787.21553,71090.25675,74220.90739,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Burkina Faso,BFA,..,3346.449815,5290.997548,5461.630616,5659.924452,5813.152009,5931.605383,6231.15162,6223.529033,6289.321529,6470.85224,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Burundi,BDI,..,2494.972592,2449.269895,2487.274777,2532.02366,2546.355602,2499.792031,2475.742885,2435.845204,2428.878893,2444.227457,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cabo Verde,CPV,..,15289.6836,21195.42449,22146.96401,24408.24034,25206.77046,22084.27484,22885.80425,24209.53537,24900.61564,26322.16413,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cambodia,KHM,..,4190.721975,9550.827826,10144.05318,10802.02771,11406.46179,10831.4793,11356.78018,11306.14078,11663.23627,12150.18308,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cameroon,CMR,..,9157.12252,12354.69666,12591.02953,12888.61886,13118.16124,13085.36709,13249.78446,13230.21224,13247.84193,13292.68348,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Canada,CAN,..,98476.48074,108776.0545,109696.8968,110704.6997,110430.506,111042.8711,112202.1654,111740.9795,109849.074,110184.2327,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
