Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3997939,71.47332627,71.58031432,71.5787412,71.67745833,71.83271144,71.86291316,71.82559647,71.77290057,71.71175396,71.66936113,71.62507309,71.62455814,71.63808089,71.61307466,71.60404003,71.45122212,71.24397465,71.02803898,70.62403993,70.22100289,70.42748633,69.65633184,70.36472433,69.50847159,69.12626383,68.62215736,67.96529153,67.52271491,67.097276,65.95310867,66.03366222,66.39743253,68.88436823,68.87658665,68.8697268
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.186,47.14,47.087,47.024,46.95,46.876,46.803,46.732,46.667,46.609,46.562,46.526,46.505,46.497,46.506,46.532,46.571,46.622,46.682,46.746,46.815,46.884,46.956,47.026,47.096,47.165,47.235,47.305,45.566,43.814,41.579,40.684,37.64,37.588,37.547,37.457
Africa Western and Central,AFW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5834171,75.84444023,76.10870725,76.2806405,76.50328621,76.52452592,76.38951662,76.31493355,76.22267714,76.17091042,76.03619482,75.91872965,75.77486784,75.59350506,75.45741485,75.27273492,75.1160622,74.96170994,74.70011598,74.47156975,74.18323016,73.97805718,73.7538769,73.43252471,73.07120582,72.8422209,72.78435047,72.37183245,72.16299753,71.97486284,70.72631201,71.25448881,71.94279418,72.44198915,72.36609158,72.27390479
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.269,77.307,77.342,77.374,77.401,77.415,77.415,77.408,77.394,77.38,77.362,77.342,77.322,77.302,77.284,77.27,77.26,77.254,77.253,77.257,77.26,77.315,77.037,76.756,76.473,76.187,75.899,75.609,75.316,75.021,73.319,76.372,75.247,74.892,74.881,74.786
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69,68.312,69.36,67.876,66.602,64.732,63.466,64.955,63.712,62.061,61.163,60.132,59.61,58.557,57.496,56.428,55.354,54.275,53.192,54.993,55.202,59.938,56.995,52.418,53.42,55.497,57.314,58.057,59.296,60.306,59.367,59.684,62.161,63.882,64.006,64.263
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.52641449,47.57320709,47.75915186,47.9654058,48.18623037,47.9080935,47.75128067,47.52994269,47.29043119,47.66976415,47.30566548,46.73718904,46.05006731,46.17174598,46.31308121,46.48603317,46.71699099,47.00494455,46.94669714,47.05989322,47.52249454,47.51810262,47.24570613,47.30998032,47.32328454,46.84118051,46.79356693,45.98844382,45.42978828,45.12996123,43.87978616,44.06980451,44.7280917,46.1663697,46.15460633,46.02768584
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.354,74.648,74.952,75.482,75.811,76.16,76.032,75.355,74.875,74.601,74.508,74.649,74.99,75.471,76.058,76.708,77.223,77.32,77.059,76.596,76.643,76.869,77.046,77.334,77.672,77.997,78.446,78.759,79.108,79.467,78.781,77.054,77.242,78.367,78.484,78.594
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.093,59.969,60.717,61.495,62.009,61.511,62,62.778,63.084,62.542,62.315,61.651,60.149,61.036,61.943,61.511,61.795,61.114,60.428,60.78,60.187,60.651,60.362,59.962,59.444,59.232,59.02,58.808,59.595,60.289,56.023,60.358,61.484,62.286,61.862,61.913
