Country Name,Country Code,Year,GDP_y,Edu_x,Digital_w,Labor_z2,RD_z1,core_complete,rd_complete,ln_GDP_y,Edu_x_lag1,Digital_w_lag1,Labor_z2_lag1,ln_GDP_y_lag1,gdp_growth_next,Edu_within,ln_GDP_within
"Hong Kong SAR, China",HKG,2016,123445.279,3.292690039,87.4794,60.397,0.7915,True,True,11.723553251838753,,,,,0.026333339741444917,-0.41691750275000006,-0.034799107431984666
"Hong Kong SAR, China",HKG,2017,126739.1849,3.309890032,89.4159,60.466,0.83519,True,True,11.749886591580198,3.292690039,87.4794,60.397,11.723553251838753,0.014088102842167771,-0.39971750974999987,-0.00846576769053975
"Hong Kong SAR, China",HKG,2018,128537.3361,3.326240063,90.5074,60.647,0.8633,True,True,11.763974694422366,3.309890032,89.4159,60.466,11.749886591580198,-0.013388454403401084,-0.3833674787499999,0.005622335151628022
"Hong Kong SAR, China",HKG,2019,126827.8888,3.810179949,91.7434,59.995,0.92557,True,True,11.750586240018965,3.326240063,90.5074,60.647,11.763974694422366,-0.019046308572887582,0.10057240725000005,-0.007766119251773063
"Hong Kong SAR, China",HKG,2020,124435.1445,4.405620098,92.4131,58.975,0.99236,True,True,11.731539931446077,3.810179949,91.7434,59.995,11.750586240018965,0.06670578908088665,0.6960125562499999,-0.026812427824660645
"Hong Kong SAR, China",HKG,2021,133018.796,4.000309944,93.0872,58.744,0.97026,True,True,11.798245720526964,4.405620098,92.4131,58.975,11.731539931446077,-0.024059309521240024,0.29070240224999955,0.039893361256226
"Hong Kong SAR, China",HKG,2022,129856.6477,3.728660107,95.6136,57.851,1.07288,True,True,11.774186411005724,4.000309944,93.0872,58.744,11.798245720526964,0.0006596223211250418,0.019052565249999986,0.015834051734985977
"Hong Kong SAR, China",HKG,2023,129942.3323,3.803270102,95.9778,57.216,1.10339,True,True,11.774846033326849,3.728660107,95.6136,57.851,11.774186411005724,,0.09366256024999986,0.01649367405611102
Indonesia,IDN,2016,24358.59881,1.210234525,25.4474,66.314,0.24535,True,True,10.100640200054546,,,,,0.025252589709010564,0.15903729487499985,-0.07381083675158884
Indonesia,IDN,2017,24981.54896,1.053243825,32.3358,66.694,0.23805,True,True,10.125892789763556,1.210234525,25.4474,66.314,10.100640200054546,0.02968428003883261,0.0020465948749999185,-0.04855824704257827
Indonesia,IDN,2018,25734.2243,0.994436461,39.9046,67.652,0.22632,True,True,10.155577069802389,1.053243825,32.3358,66.694,10.125892789763556,0.0193859084567638,-0.056760769125000055,-0.018873967003745662
Indonesia,IDN,2019,26237.97265,0.964399078,47.6906,68.238,0.27129,True,True,10.174962978259153,0.994436461,39.9046,67.652,10.155577069802389,-0.01357191216626319,-0.08679815212500008,0.0005119414530181388
Indonesia,IDN,2020,25884.27877,1.015932213,53.7265,67.401,0.28068,True,True,10.16139106609289,0.964399078,47.6906,68.238,10.174962978259153,0.04435740013874856,-0.035265017125000186,-0.01305997071324505
Indonesia,IDN,2021,27058.28349,1.032217507,62.1045,65.868,,True,False,10.205748466231638,1.015932213,53.7265,67.401,10.16139106609289,0.019126769174217628,-0.01897972312500018,0.03129742942550351
Indonesia,IDN,2022,27580.80215,0.86394335,66.4846,67.018,,True,False,10.224875235405856,1.032217507,62.1045,65.868,10.205748466231638,0.021645253433192124,-0.1872538801250001,0.05042419859972114
Indonesia,IDN,2023,28184.30351,1.275170882,69.2084,67.899,,True,False,10.246520488839048,0.86394335,66.4846,67.018,10.224875235405856,,0.22397365187499996,0.07206945203291326
Japan,JPN,2016,86240.91,3.146430016,93.1827,59.986,3.10666,True,True,11.364899938035204,,,,,0.005310996473497198,-0.04558662533333324,0.019192994788495454
Japan,JPN,2017,86700.15361,3.130579948,91.7265,60.444,3.16636,True,True,11.370210934508702,3.146430016,93.1827,59.986,11.364899938035204,-0.013758372556701204,-0.06143669333333346,0.024503991261992653
Japan,JPN,2018,85515.46895,3.077820063,88.7464,61.446,3.2192,True,True,11.356452561952,3.130579948,91.7265,60.444,11.370210934508702,-0.014324286091529359,-0.11419657833333341,0.010745618705291449
Japan,JPN,2019,84299.25242,3.155339956,92.7304,62.008,3.21824,True,True,11.342128275860471,3.077820063,88.7464,61.446,11.356452561952,-0.03562114567526464,-0.036676685333333126,-0.0035786673862379104
Japan,JPN,2020,81349.26928,3.306289911,90.2195,61.947,3.26458,True,True,11.306507130185206,3.155339956,92.7304,62.008,11.342128275860471,0.027535688753465237,0.11427326966666662,-0.03919981306150255
Japan,JPN,2021,83620.40255,3.335639954,82.9141,62.053,3.27677,True,True,11.334042818938672,3.306289911,90.2195,61.947,11.306507130185206,,0.1436233126666666,-0.011664124308037316
"Korea, Rep.",KOR,2016,88154.25427,4.333099842,92.843,62.626,3.98704,True,True,11.386843448374446,,,,,0.022536570923580967,-0.42212009428571395,-0.055893854290735234
"Korea, Rep.",KOR,2017,90163.50464,4.328239918,95.0694,62.91,4.29206,True,True,11.409380019298027,4.333099842,92.843,62.626,11.386843448374446,0.027664141602151915,-0.42698001828571375,-0.03335728336715427
"Korea, Rep.",KOR,2018,92692.62224,4.458079815,96.0229,62.757,4.51633,True,True,11.437044160900179,4.328239918,95.0694,62.91,11.409380019298027,0.011348607555515144,-0.29714012128571454,-0.005693141765002352
"Korea, Rep.",KOR,2019,93750.54606,4.684659958,96.1576,62.994,4.62703,True,True,11.448392768455694,4.458079815,96.0229,62.757,11.437044160900179,0.001655357729228868,-0.07055997828571403,0.0056554657905127925
"Korea, Rep.",KOR,2020,93905.86527,4.801720142,96.5051,62.274,4.79571,True,True,11.450048126184923,4.684659958,96.1576,62.994,11.448392768455694,0.03535035277347198,0.04650020571428559,0.0073108235197416604
"Korea, Rep.",KOR,2021,97284.84289,4.866270065,97.5713,62.55,4.90988,True,True,11.485398478958395,4.801720142,96.5051,62.274,11.450048126184923,-0.0033443624737845568,0.11105012871428599,0.04266117629321364
"Korea, Rep.",KOR,2022,96960.03056,5.814469814,97.1686,63.794,5.21081,True,True,11.48205411648461,4.866270065,97.5713,62.55,11.485398478958395,,1.0592498777142856,0.039316813819429086
Lao PDR,LAO,2016,18038.81982,2.774429761,21.87,59.898,,True,False,9.800281371299238,,,,,0.05445799321144662,0.7494948721250001,-0.040194969273786185
Lao PDR,LAO,2017,19048.41861,2.497972614,25.5104,59.782,,True,False,9.854739364510685,2.774429761,21.87,59.898,9.800281371299238,0.016746422337178046,0.4730377251250002,0.014263023937660435
Lao PDR,LAO,2018,19370.09744,2.33501229,36.3,60.989,,True,False,9.871485786847863,2.497972614,25.5104,59.782,9.854739364510685,0.00990568441593176,0.31007740112500004,0.03100944627483848
Lao PDR,LAO,2019,19562.92498,2.122013937,47.0323,62.207,,True,False,9.881391471263795,2.33501229,36.3,60.989,9.871485786847863,-0.027637947822485742,0.09707904812500034,0.04091513069077024
Lao PDR,LAO,2020,19029.64915,1.915972732,54.0,62.912,,True,False,9.85375352344131,2.122013937,47.0323,62.207,9.881391471263795,-0.023865778042772234,-0.10896215687499988,0.013277182868284498
Lao PDR,LAO,2021,18580.86832,1.859491769,62.0,64.618,,True,False,9.829887745398537,1.915972732,54.0,62.912,9.85375352344131,-0.02254447598420839,-0.16544311987499993,-0.010588595174487736
Lao PDR,LAO,2022,18166.65899,1.460834404,62.7001,66.001,,True,False,9.807343269414329,1.859491769,62.0,64.618,9.829887745398537,0.017584922994117846,-0.5641004848749998,-0.033133071158696126
Lao PDR,LAO,2023,18488.94366,1.233751604,63.6255,65.99,,True,False,9.824928192408446,1.460834404,62.7001,66.001,9.807343269414329,,-0.7911832848749998,-0.01554814816457828
"Macao SAR, China",MAC,2016,202307.5841,3.099529982,81.643,70.062,0.23492,True,True,12.217544511825347,,,,,0.10643923404946776,-0.9833737310000004,0.18598076982296163
"Macao SAR, China",MAC,2017,225028.8164,2.709490061,83.1741,69.862,0.1721,True,True,12.323983745874814,3.099529982,81.643,70.062,12.217544511825347,0.04388793183923312,-1.3734136520000004,0.2924200038724294
"Macao SAR, China",MAC,2018,235124.791,2.733409882,83.7941,70.082,0.20113,True,True,12.367871677714048,2.709490061,83.1741,69.862,12.323983745874814,-0.037104498274644016,-1.3494938310000002,0.3363079357116625
"Macao SAR, China",MAC,2019,226560.4735,3.065439939,86.4679,69.789,0.24721,True,True,12.330767179439404,2.733409882,83.7941,70.082,12.367871677714048,-0.7775784219138,-1.0174637740000003,0.2992034374370185
"Macao SAR, China",MAC,2020,104108.4848,6.389480114,87.4623,68.672,0.45327,True,True,11.553188757525604,3.065439939,86.4679,69.789,12.330767179439404,0.2003562560591181,2.306576401,-0.4783749844767815
"Macao SAR, China",MAC,2021,127203.6995,5.106979847,88.4681,68.924,0.37318,True,True,11.753545013584722,6.389480114,87.4623,68.672,11.553188757525604,-0.16821689597762024,1.0240761339999995,-0.2780187284176634
"Macao SAR, China",MAC,2022,107508.8144,6.057069778,87.9696,66.648,0.43688,True,True,11.585328117607101,5.106979847,88.4681,68.924,11.753545013584722,0.5349528148409348,1.9741660649999995,-0.44623562439528364
"Macao SAR, China",MAC,2023,183557.0748,3.501830101,89.1806,67.971,0.26378,True,True,12.120280932448036,6.057069778,87.9696,66.648,11.585328117607101,,-0.5810736120000004,0.08871719044565118
Malaysia,MYS,2016,60708.42694,4.751920223,78.7883,65.09,1.41517,True,True,11.013837796736238,,,,,0.032845034370179604,0.5955911589999996,-0.044550066408401534
Malaysia,MYS,2017,62735.5048,4.675310135,80.1405,65.202,,True,False,11.046682831106418,4.751920223,78.7883,65.09,11.013837796736238,0.01906192052174127,0.5189810709999998,-0.01170503203822193
Malaysia,MYS,2018,63942.83446,4.478650093,81.201,65.574,1.04026,True,True,11.06574475162816,4.675310135,80.1405,65.202,11.046682831106418,0.017670642684212368,0.32232102899999937,0.0073568884835193415
Malaysia,MYS,2019,65082.78763,4.157760143,84.1871,65.871,,True,False,11.083415394312372,4.478650093,81.201,65.574,11.06574475162816,-0.05756406372311673,0.0014310789999996132,0.02502753116773171
Malaysia,MYS,2020,61442.14815,3.911760092,89.555,65.473,0.95055,True,True,11.025851330589255,4.157760143,84.1871,65.871,11.083415394312372,0.012484496494284514,-0.24456897200000016,-0.03253653255538502
Malaysia,MYS,2021,62214.03069,4.261093934,96.7514,65.619,,True,False,11.03833582708354,3.911760092,89.555,65.473,11.025851330589255,0.05063463292658277,0.10476486999999945,-0.02005203606110051
Malaysia,MYS,2022,65445.33284,3.49933782,97.3986,66.223,,True,False,11.088970460010122,4.261093934,96.7514,65.619,11.03833582708354,0.015294053680889874,-0.6569912440000003,0.03058259686548226
Malaysia,MYS,2023,66453.95054,3.514800072,97.6927,66.178,,True,False,11.104264513691012,3.49933782,97.3986,66.223,11.088970460010122,,-0.6415289920000005,0.04587665054637213
Philippines,PHL,2016,20231.55173,3.30128109,39.2,61.59,,True,False,9.914998631619566,,,,,0.08437930282563322,-0.3814328306250001,-0.10724860271301928
Philippines,PHL,2017,22012.76815,3.963840874,41.6,59.141,,True,False,9.9993779344452,3.30128109,39.2,61.59,9.914998631619566,0.0415454079394415,0.28112695337500027,-0.022869299887386063
Philippines,PHL,2018,22946.56067,3.855027607,44.1,58.981,0.32222,True,True,10.040923342384641,3.963840874,41.6,59.141,9.9993779344452,0.030869581705506022,0.17231368637499989,0.01867610805205544
Philippines,PHL,2019,23665.95802,3.407486491,43.0266,59.444,,True,False,10.071792924090147,3.855027607,44.1,58.981,10.040923342384641,-0.03477289074258749,-0.27522742962500013,0.04954568975756146
Philippines,PHL,2020,22857.16773,3.858290513,53.7649,54.746,,True,False,10.03702003334756,3.407486491,43.0266,59.444,10.071792924090147,0.014918294954110678,0.17557659237500012,0.01477279901497397
Philippines,PHL,2021,23200.71389,3.872497548,66.9078,56.471,,True,False,10.05193832830167,3.858290513,53.7649,54.746,10.03702003334756,-0.03680780199005618,0.1897836273750002,0.029691093969084648
Philippines,PHL,2022,22362.27187,3.579600895,75.2111,61.439,,True,False,10.015130526311614,3.872497548,66.9078,56.471,10.05193832830167,0.03166562784866933,-0.10311302562499991,-0.0071167080209715294
Philippines,PHL,2023,23081.71799,3.623686347,83.7661,61.42,,True,False,10.046796154160283,3.579600895,75.2111,61.439,10.015130526311614,,-0.059027573624999885,0.0245489198276978
Singapore,SGP,2016,192039.2865,2.944662589,84.4523,69.244,2.07276,True,True,12.165455247266177,,,,,0.047425796928408204,0.24981052237500023,-0.08448766231507321
Singapore,SGP,2017,201366.3257,2.879163824,84.4523,68.943,1.89913,True,True,12.212881044194585,2.944662589,84.4523,69.244,12.165455247266177,0.02730322132870988,0.18431175737500016,-0.037061865386665005
