model_key,model_label,term,term_label,coef,std_err,p_value,ci_low,ci_high,nobs,r_squared,adj_r_squared
m1_contemporaneous_fe,Contemporaneous FE (diagnostic),Edu_c,Education expenditure,-0.12093164439115908,0.03452993545501985,0.00046138773926640325,-0.18861031788299798,-0.05325297089932017,91,0.9929965911834566,0.9908651189349434
m1_contemporaneous_fe,Contemporaneous FE (diagnostic),Digital_c,Internet use,0.0007557865633068504,0.001803978601152095,0.6752487330769403,-0.002780011494951256,0.004291584621564957,91,0.9929965911834566,0.9908651189349434
m1_contemporaneous_fe,Contemporaneous FE (diagnostic),Labor_c,Labor force participation,-0.013102183833351044,0.009189932887181415,0.1539519237196859,-0.031114452292226615,0.004910084625524527,91,0.9929965911834566,0.9908651189349434
m2_lagged_fe,Lagged FE (primary),Edu_c,Education expenditure,-0.0667525958955485,0.05101604008723168,0.19071634932958514,-0.16674403446652258,0.033238842675425595,79,0.9864396929012889,0.981763724936216
m2_lagged_fe,Lagged FE (primary),Digital_c,Internet use,0.00169520815644378,0.0033669857993949633,0.6146272253195716,-0.004904084010370348,0.008294500323257908,79,0.9864396929012889,0.981763724936216
m2_lagged_fe,Lagged FE (primary),Labor_c,Labor force participation,-0.01862203608403934,0.011380554860554382,0.10177618811219963,-0.04092792361072593,0.0036838514426472506,79,0.9864396929012889,0.981763724936216
m3_lagged_fe_digital_interaction,Lagged FE + digital interaction,Edu_c,Education expenditure,-0.08225814672929055,0.05931231274345288,0.16548305493237114,-0.19851027970645818,0.0339939862478771,79,0.9867459007991376,0.9818628116198725
m3_lagged_fe_digital_interaction,Lagged FE + digital interaction,Digital_c,Internet use,1.3107910695340369e-05,0.0025747183585096245,0.9959379811949078,-0.005033340071983523,0.005059555893374204,79,0.9867459007991376,0.9818628116198725
m3_lagged_fe_digital_interaction,Lagged FE + digital interaction,Labor_c,Labor force participation,-0.02107920556585896,0.011736478300986335,0.07248787005031021,-0.044082703035792176,0.0019242919040742545,79,0.9867459007991376,0.9818628116198725
m3_lagged_fe_digital_interaction,Lagged FE + digital interaction,Edu_c:Digital_c,Education x Internet,-0.0007540872838139936,0.0013833343863852595,0.5856689781383646,-0.003465422681129102,0.0019572481135011147,79,0.9867459007991376,0.9818628116198725
m4_future_growth_fe,Next-year productivity growth FE,Edu_c,Education expenditure,0.08546043483640478,0.07929722440614213,0.28115743469044907,-0.0699621249996338,0.24088299467244337,67,0.29067881156474906,0.00393194815475395
m4_future_growth_fe,Next-year productivity growth FE,Digital_c,Internet use,0.00024275874576105857,0.004758911472160873,0.959316434967825,-0.009084707739674253,0.00957022523119637,67,0.29067881156474906,0.00393194815475395
m4_future_growth_fe,Next-year productivity growth FE,Labor_c,Labor force participation,0.006468004849063803,0.011004934014537417,0.5567089617334915,-0.015101665819429533,0.02803767551755714,67,0.29067881156474906,0.00393194815475395
